"УИК","ТИК","избирателей в списках","действительных бюллетеней","КПРФ","Зеленые","ЛДПР","Новые Люди","Единая Россия","Справедливая Россия","Яблоко","Партия Роста","РПСС","Коммунисты России","Гражданская платформа","Зеленая Альтернатива","Родина","Партия пенсионеров","явка","процент ЕР","сумма не-ЕР","процент не-ЕР"
"1","Волжский",2026,666,206,16,43,50,219,51,30,2,7,10,3,6,10,13,"32.8726554787759","32.8828828828829",447,"67.1171171171171"
"4","Волжский",1067,383,113,11,15,20,133,35,21,0,7,2,0,8,5,13,"35.8950328022493","34.7258485639687",250,"65.2741514360313"
"5","Волжский",1623,606,182,11,34,32,224,52,26,2,13,9,0,2,6,13,"37.3382624768946","36.963696369637",382,"63.036303630363"
"6","Волжский",2277,1037,262,21,50,57,475,62,37,7,8,9,2,13,5,29,"45.542380324989","45.8052073288332",562,"54.1947926711668"
"7","Волжский",1326,567,148,12,22,28,229,51,23,4,9,11,2,8,7,13,"42.7601809954751","40.3880070546737",338,"59.6119929453263"
"8","Волжский",1265,431,138,5,27,21,158,42,17,0,5,3,0,6,1,8,"34.0711462450593","36.6589327146172",273,"63.3410672853828"
"9","Волжский",997,366,63,1,4,10,239,20,14,2,3,0,0,0,3,7,"36.7101303911735","65.3005464480874",127,"34.6994535519126"
"10","Волжский",1526,485,150,4,22,17,209,29,16,2,6,5,0,4,9,12,"31.7824377457405","43.0927835051546",276,"56.9072164948454"
"11","Волжский",1564,652,102,8,30,19,382,62,17,1,3,8,1,3,5,11,"41.6879795396419","58.5889570552147",270,"41.4110429447853"
"12","Волжский",939,369,99,6,16,22,149,28,20,3,10,3,0,1,2,10,"39.297124600639","40.3794037940379",220,"59.6205962059621"
"13","Волжский",2292,650,214,9,29,41,225,57,20,0,9,7,0,7,14,18,"28.3595113438045","34.6153846153846",425,"65.3846153846154"
"14","Волжский",2099,791,264,8,35,30,346,45,5,3,8,9,0,8,6,24,"37.6846117198666","43.7420986093552",445,"56.2579013906447"
"15","Волжский",2174,790,235,12,27,43,350,52,18,3,5,10,1,12,7,15,"36.3385464581417","44.3037974683544",440,"55.6962025316456"
"16","Волжский",2267,795,252,5,26,56,300,70,12,0,11,12,0,12,10,29,"35.0683722981914","37.7358490566038",495,"62.2641509433962"
"17","Волжский",2027,648,240,3,42,38,259,42,9,0,2,3,0,3,4,3,"31.9684262456833","39.9691358024691",389,"60.0308641975309"
"18","Волжский",1267,423,153,12,16,17,154,29,14,3,3,4,0,2,7,9,"33.3859510655091","36.4066193853428",269,"63.5933806146572"
"19","Волжский",2864,879,336,8,42,68,304,48,13,1,5,11,0,7,13,23,"30.6913407821229","34.584755403868",575,"65.415244596132"
"20","Волжский",2565,916,247,8,55,72,343,74,30,5,12,19,2,8,13,28,"35.7115009746589","37.4454148471616",573,"62.5545851528384"
"21","Волжский",1513,472,138,5,27,25,167,51,18,0,4,12,1,5,6,13,"31.1962987442168","35.3813559322034",305,"64.6186440677966"
"22","Волжский",1257,365,118,1,10,20,141,36,18,0,4,5,0,2,2,8,"29.0373906125696","38.6301369863014",224,"61.3698630136986"
"25","Волжский",1136,394,130,10,28,19,151,24,3,3,5,2,1,8,3,7,"34.6830985915493","38.3248730964467",243,"61.6751269035533"
"26","Волжский",1573,460,142,9,18,20,207,29,14,0,4,3,0,2,2,10,"29.2434837889383",45,253,55
"27","Волжский",1626,565,85,2,61,18,308,43,30,0,5,3,2,3,3,2,"34.7478474784748","54.5132743362832",257,"45.4867256637168"
"28","Волжский",1090,328,73,4,12,10,218,3,3,0,4,0,0,0,1,0,"30.0917431192661","66.4634146341463",110,"33.5365853658537"
"29","Волжский",1265,451,145,7,22,28,179,23,14,1,5,5,1,3,5,13,"35.6521739130435","39.689578713969",272,"60.310421286031"
"30","Волжский",2152,658,118,12,25,35,364,34,18,2,8,10,0,5,6,21,"30.5762081784387","55.3191489361702",294,"44.6808510638298"
"35","Волжский",1063,397,130,2,19,10,188,28,2,0,0,4,9,0,3,2,"37.3471307619944","47.3551637279597",209,"52.6448362720403"
"36","Волжский",1406,470,134,7,26,30,201,30,4,3,4,16,0,6,5,4,"33.4281650071124","42.7659574468085",269,"57.2340425531915"
"37","Волжский",1905,646,167,5,53,32,282,38,13,6,11,17,1,4,5,12,"33.9107611548556","43.6532507739938",364,"56.3467492260062"
"42","Волжский",2112,696,218,7,55,50,256,60,13,1,7,8,0,3,6,12,"32.9545454545455","36.7816091954023",440,"63.2183908045977"
"1889","Волжский",2730,803,230,10,53,41,354,46,11,3,7,15,0,5,5,23,"29.4139194139194","44.0846824408468",449,"55.9153175591532"
"1894","Волжский",1085,360,95,8,12,35,125,40,20,2,2,4,0,5,6,6,"33.1797235023041","34.7222222222222",235,"65.2777777777778"
"292","Октябрьский",1877,647,195,11,27,42,206,56,37,7,12,10,0,11,17,16,"34.4698987746404","31.839258114374",441,"68.160741885626"
"293","Октябрьский",1298,496,175,5,27,27,169,32,21,2,4,3,0,5,11,15,"38.2126348228043","34.0725806451613",327,"65.9274193548387"
"294","Октябрьский",1879,613,203,10,37,48,194,34,25,1,8,6,0,11,15,21,"32.6237360298031","31.6476345840131",419,"68.352365415987"
"295","Октябрьский",1833,567,216,6,25,29,199,20,21,1,11,6,0,9,4,20,"30.9328968903437","35.0970017636684",368,"64.9029982363316"
"296","Октябрьский",2299,1029,273,14,61,85,397,74,44,4,15,8,1,20,14,19,"44.758590691605","38.581146744412",632,"61.4188532555879"
"297","Октябрьский",2010,765,277,7,10,2,386,11,29,2,2,5,14,3,3,14,"38.0597014925373","50.4575163398693",379,"49.5424836601307"
"346","Фрунзенский",2037,752,235,17,50,53,238,50,38,4,16,12,1,10,8,20,"36.9170348551792","31.6489361702128",514,"68.3510638297872"
"348","Фрунзенский",1398,839,17,0,135,0,681,0,3,0,0,2,0,0,0,1,"60.0143061516452","81.1680572109654",158,"18.8319427890346"
"349","Фрунзенский",1109,661,14,1,5,0,599,39,1,0,0,2,0,0,0,0,"59.6032461677187","90.6202723146747",62,"9.37972768532526"
"350","Фрунзенский",1657,608,179,9,38,44,256,27,12,2,4,5,0,7,5,20,"36.6928183464092","42.1052631578947",352,"57.8947368421053"
"351","Фрунзенский",2055,724,187,6,26,1,441,5,19,1,7,3,2,5,5,16,"35.2311435523114","60.9116022099447",283,"39.0883977900552"
"352","Фрунзенский",1632,564,194,8,34,39,204,33,13,3,9,5,1,2,2,17,"34.5588235294118","36.1702127659575",360,"63.8297872340426"
"353","Фрунзенский",1812,997,275,6,36,3,639,4,12,13,2,2,1,0,3,1,"55.0220750551876","64.0922768304915",358,"35.9077231695085"
"354","Фрунзенский",1605,579,188,11,25,30,226,28,24,3,6,6,1,7,6,18,"36.0747663551402","39.0328151986183",353,"60.9671848013817"
"355","Фрунзенский",2725,901,305,21,34,58,312,67,35,2,10,4,0,15,14,24,"33.0642201834862","34.6281908990011",589,"65.3718091009989"
"356","Фрунзенский",1763,571,223,12,30,27,176,41,19,2,4,7,0,10,5,15,"32.3879750425411","30.8231173380035",395,"69.1768826619965"
"357","Фрунзенский",1677,699,187,7,28,26,389,12,17,2,2,8,0,4,2,15,"41.6815742397138","55.6509298998569",310,"44.3490701001431"
"1884","Волжский",2434,655,251,6,44,15,252,57,13,2,0,3,2,3,4,3,"26.9104354971241","38.4732824427481",403,"61.5267175572519"
"1890","Волжский",1724,470,192,7,33,39,144,25,6,2,2,2,1,3,2,12,"27.262180974478","30.6382978723404",326,"69.3617021276596"
"1899","Волжский",1950,612,223,14,28,51,218,29,10,2,6,6,1,6,8,10,"31.3846153846154","35.6209150326797",394,"64.3790849673203"
"1909","Волжский",1410,417,148,6,18,42,150,24,5,2,2,6,1,4,1,8,"29.5744680851064","35.9712230215827",267,"64.0287769784173"
"23","Волжский",1611,449,111,4,20,28,206,37,16,0,5,4,1,1,1,15,"27.870887647424","45.8797327394209",243,"54.1202672605791"
"24","Волжский",2157,484,180,5,24,31,171,33,3,2,4,4,0,5,8,14,"22.4385720908669","35.3305785123967",313,"64.6694214876033"
"31","Волжский",99,99,0,0,0,1,98,0,0,0,0,0,0,0,0,0,100,"98.989898989899",1,"1.01010101010101"
"32","Волжский",1068,367,127,6,20,17,133,18,9,1,3,4,4,7,6,12,"34.3632958801498","36.2397820163488",234,"63.7602179836512"
"33","Волжский",1313,353,124,6,23,14,129,25,7,0,3,2,0,2,1,17,"26.8849961919269","36.5439093484419",224,"63.4560906515581"
"34","Волжский",1132,400,111,1,24,9,200,26,4,0,4,4,1,3,3,10,"35.3356890459364",50,200,50
"38","Волжский",1411,381,130,1,23,18,141,16,3,3,4,17,1,2,3,19,"27.0021261516655","37.007874015748",240,"62.992125984252"
"39","Волжский",2264,893,234,15,60,49,378,57,16,10,10,17,8,9,13,17,"39.4434628975265","42.3292273236282",515,"57.6707726763718"
"40","Волжский",1621,590,163,5,37,40,252,43,10,3,8,5,1,8,4,11,"36.3972856261567","42.7118644067797",338,"57.2881355932203"
"41","Волжский",1994,683,215,13,33,47,259,40,19,1,5,9,0,10,6,26,"34.2527582748245","37.9209370424597",424,"62.0790629575403"
"43","Волжский",13,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,100,100,0,0
"44","Волжский",69,66,21,0,5,4,26,0,1,0,1,3,0,0,1,4,"95.6521739130435","39.3939393939394",40,"60.6060606060606"
"100","Заводский",2533,892,311,5,37,41,398,46,8,2,6,9,2,5,4,18,"35.2151598894591","44.6188340807175",494,"55.3811659192825"
"101","Заводский",40,40,8,1,3,2,21,4,0,0,0,0,0,0,0,1,100,"52.5",19,"47.5"
"102","Заводский",2483,751,256,8,50,18,329,33,9,3,4,11,0,5,4,21,"30.2456705598067","43.8082556591212",422,"56.1917443408788"
"103","Заводский",2596,691,259,3,41,20,291,41,5,2,3,10,1,3,3,9,"26.617873651772","42.1128798842258",400,"57.8871201157742"
"104","Заводский",2933,775,293,12,45,27,292,48,9,3,6,5,2,8,3,22,"26.4234572110467","37.6774193548387",483,"62.3225806451613"
"105","Заводский",2976,727,296,0,36,36,261,34,12,2,9,11,1,3,5,21,"24.4287634408602","35.9009628610729",466,"64.0990371389271"
"106","Заводский",2647,814,264,4,44,29,353,56,6,4,7,16,0,7,3,21,"30.7517944843219","43.3660933660934",461,"56.6339066339066"
"107","Заводский",2597,917,314,16,44,47,335,64,14,1,2,23,0,6,6,45,"35.3099730458221","36.5321701199564",582,"63.4678298800436"
"108","Заводский",2612,773,279,11,47,40,294,56,5,1,5,16,0,3,1,15,"29.594180704441","38.0336351875809",479,"61.9663648124192"
"109","Заводский",2570,736,233,3,53,45,270,46,14,2,9,17,2,6,2,34,"28.6381322957198","36.6847826086957",466,"63.3152173913043"
"110","Заводский",2471,760,290,4,46,50,273,47,6,1,4,8,0,6,6,19,"30.7567786321327","35.9210526315789",487,"64.0789473684211"
"111","Заводский",2562,855,312,11,52,44,327,59,8,0,3,10,1,1,4,23,"33.3723653395785","38.2456140350877",528,"61.7543859649123"
"112","Заводский",2665,762,248,8,46,46,315,35,9,3,7,13,0,8,1,23,"28.5928705440901","41.3385826771654",447,"58.6614173228346"
"113","Заводский",2449,777,281,9,38,47,274,68,6,2,8,13,2,3,7,19,"31.7272356063699","35.2638352638353",503,"64.7361647361647"
"114","Заводский",2154,498,179,3,34,22,191,28,11,2,4,6,0,2,3,13,"23.1197771587744","38.3534136546185",307,"61.6465863453815"
"115","Заводский",1916,545,209,2,44,15,212,16,4,1,4,16,2,2,9,9,"28.4446764091858","38.8990825688073",333,"61.1009174311927"
"1893","Заводский",1610,789,322,6,7,2,408,28,3,1,0,7,0,2,2,1,"49.0062111801242","51.7110266159696",381,"48.2889733840304"
"1900","Заводский",45,45,10,0,4,2,20,4,0,0,1,0,0,0,0,4,100,"44.4444444444444",25,"55.5555555555556"
"1904","Заводский",1853,711,238,7,47,45,307,23,10,10,2,3,2,8,5,4,"38.3702104695089","43.1786216596343",404,"56.8213783403657"
"1905","Заводский",1475,590,195,5,24,19,286,21,7,1,0,16,0,1,2,13,40,"48.4745762711864",304,"51.5254237288136"
"1906","Заводский",732,273,79,2,11,13,139,16,0,0,0,5,0,1,1,6,"37.2950819672131","50.9157509157509",134,"49.0842490842491"
"1907","Заводский",1513,563,186,3,20,17,265,29,2,0,4,13,0,1,3,20,"37.2108393919366","47.0692717584369",298,"52.9307282415631"
"1908","Заводский",1073,396,147,1,21,20,161,14,2,0,3,11,0,1,3,12,"36.90587138863","40.6565656565657",235,"59.3434343434343"
"1912","Заводский",958,482,139,0,24,7,266,28,0,0,0,8,0,0,0,10,"50.3131524008351","55.1867219917012",216,"44.8132780082988"
"1913","Заводский",313,199,38,3,8,0,137,7,2,0,1,0,0,0,1,2,"63.5782747603834","68.8442211055276",62,"31.1557788944724"
"1914","Заводский",841,316,90,1,30,8,163,7,0,0,4,6,0,2,2,3,"37.5743162901308","51.5822784810127",153,"48.4177215189873"
"1915","Заводский",955,432,128,2,17,12,235,14,0,0,1,6,0,6,0,11,"45.2356020942408","54.3981481481482",197,"45.6018518518519"
"1916","Заводский",1073,574,115,0,33,7,369,14,2,1,1,9,0,2,7,14,"53.4948741845294","64.2857142857143",205,"35.7142857142857"
"45","Заводский",2202,829,299,3,27,0,422,32,17,0,2,7,0,0,10,10,"37.6475930971844","50.9047044632087",407,"49.0952955367913"
"46","Заводский",2287,830,268,11,41,14,380,41,13,2,9,15,1,8,6,21,"36.2920857017927","45.7831325301205",450,"54.2168674698795"
"47","Заводский",1816,576,197,10,20,18,292,9,6,2,3,3,0,5,2,9,"31.7180616740088","50.6944444444444",284,"49.3055555555556"
"48","Заводский",2486,659,5,12,44,41,243,55,11,2,3,212,0,6,2,23,"26.5084473049075","36.8740515933232",416,"63.1259484066768"
"49","Заводский",43,43,6,0,6,1,27,0,0,1,0,0,0,0,0,2,100,"62.7906976744186",16,"37.2093023255814"
"50","Заводский",1323,329,123,2,23,15,131,10,0,0,1,3,1,2,1,17,"24.8677248677249","39.8176291793313",198,"60.1823708206687"
"51","Заводский",994,366,77,2,31,11,197,20,0,0,15,5,0,0,1,7,"36.8209255533199","53.8251366120219",169,"46.1748633879781"
"52","Заводский",1717,494,175,2,35,19,204,25,4,2,2,6,0,1,2,17,"28.7711124053582","41.2955465587045",290,"58.7044534412955"
"53","Заводский",1294,439,122,4,28,17,192,39,4,1,1,11,0,3,6,11,"33.9258114374034","43.7357630979499",247,"56.2642369020501"
"54","Заводский",2377,674,225,9,47,26,277,42,8,1,4,11,0,6,1,17,"28.3550694152293","41.0979228486647",397,"58.9020771513353"
"55","Заводский",27,27,1,0,0,0,24,2,0,0,0,0,0,0,0,0,100,"88.8888888888889",3,"11.1111111111111"
"56","Заводский",615,240,68,1,17,14,110,8,4,0,4,4,0,1,1,8,"39.0243902439024","45.8333333333333",130,"54.1666666666667"
"57","Заводский",2427,585,170,6,49,14,319,5,3,3,4,6,0,2,1,3,"24.1038318912237","54.5299145299145",266,"45.4700854700855"
"58","Заводский",2274,891,229,18,53,22,452,51,24,0,2,18,0,5,3,14,"39.1820580474934","50.7295173961841",439,"49.2704826038159"
"59","Заводский",2748,669,221,5,39,22,277,53,7,1,8,9,0,3,1,23,"24.3449781659389","41.4050822122571",392,"58.5949177877429"
"60","Заводский",1827,521,175,3,23,19,226,31,4,1,4,8,0,2,7,18,"28.5166940339354","43.3781190019194",295,"56.6218809980806"
"61","Заводский",221,203,34,0,12,9,124,3,0,0,3,2,2,1,2,11,"91.8552036199095","61.0837438423645",79,"38.9162561576355"
"62","Заводский",2508,985,286,9,51,32,495,49,12,3,1,12,0,5,5,25,"39.274322169059","50.253807106599",490,"49.746192893401"
"63","Заводский",2166,914,210,7,40,21,563,33,8,0,3,6,1,6,1,15,"42.1975992613112","61.5973741794311",351,"38.4026258205689"
"64","Заводский",2093,659,221,6,25,33,294,35,12,3,7,7,5,5,5,1,"31.4859053989489","44.6130500758725",365,"55.3869499241275"
"65","Заводский",2246,734,262,2,45,34,268,53,15,1,8,6,0,7,7,26,"32.6803205699021","36.5122615803815",466,"63.4877384196185"
"66","Заводский",2428,720,287,6,36,20,298,24,7,0,0,7,0,5,4,26,"29.6540362438221","41.3888888888889",422,"58.6111111111111"
"67","Заводский",2572,890,332,8,51,43,332,61,10,3,12,6,1,7,5,19,"34.6034214618974","37.3033707865169",558,"62.6966292134831"
"68","Заводский",1940,592,201,7,45,37,218,45,2,2,12,5,3,3,5,7,"30.5154639175258","36.8243243243243",374,"63.1756756756757"
"69","Заводский",1922,565,188,5,32,29,223,45,2,2,3,7,0,5,6,18,"29.3964620187305","39.4690265486726",342,"60.5309734513274"
"70","Заводский",1651,526,111,4,31,21,306,26,6,0,3,3,0,5,2,8,"31.8594791035736","58.1749049429658",220,"41.8250950570342"
"71","Заводский",2448,825,295,12,40,43,318,53,11,3,10,9,0,8,3,20,"33.7009803921569","38.5454545454545",507,"61.4545454545455"
"72","Заводский",1962,742,249,10,37,52,285,46,9,2,9,7,0,14,7,15,"37.8185524974516","38.4097035040431",457,"61.5902964959569"
"73","Заводский",2232,887,307,9,51,49,337,79,7,2,4,9,0,5,4,24,"39.7401433691756","37.9932356257046",550,"62.0067643742954"
"74","Заводский",1702,651,204,6,45,22,274,44,4,1,4,13,0,7,6,21,"38.2491186839013","42.0890937019969",377,"57.9109062980031"
"75","Заводский",2109,507,172,2,31,34,188,35,5,2,4,5,0,3,4,22,"24.0398293029872","37.0808678500986",319,"62.9191321499014"
"76","Заводский",2265,650,236,4,45,32,248,40,7,1,3,8,1,7,4,14,"28.6975717439294","38.1538461538462",402,"61.8461538461539"
"77","Заводский",2024,583,200,1,33,32,231,30,7,1,7,10,0,2,7,22,"28.804347826087","39.622641509434",352,"60.377358490566"
"78","Заводский",1852,548,186,3,41,25,224,32,7,0,4,4,0,1,5,16,"29.5896328293737","40.8759124087591",324,"59.1240875912409"
"79","Заводский",2308,602,221,6,46,28,217,53,3,1,3,8,0,1,5,10,"26.0831889081456","36.046511627907",385,"63.953488372093"
"80","Заводский",1812,708,226,9,31,22,326,37,16,1,2,10,1,3,4,20,"39.0728476821192","46.045197740113",382,"53.954802259887"
